lambda,Fp0,maxF_eta
0.0,0.09309610409340265,0.015196844966924548
-0.05,0.18641703032505164,0.002278043190206177
-0.1,0.27608738926021176,4.345932969248722e-34
-0.15000000000000002,0.36229586331076913,-3.0528854029499355e-33
-0.2,0.4453047277568023,-1.2704798018080048e-34
-0.25,0.5254685508066351,3.310238284811397e-33
-0.3,0.6032390145499035,-4.973394601688368e-32
-0.35,0.6791340920344634,-1.5164387859535842e-31
-0.39999999999999997,0.7536502153320056,-7.351629938590676e-32
-0.44999999999999996,0.827128114190607,-2.2248984255059788e-29
-0.49999999999999994,0.89964254295944,-1.5618082506690263e-29
-0.5499999999999999,0.9710016483115944,1.9947569295585446e-05
-0.6,1.0408592734441129,0.0009867555178680151
-0.65,1.1088537082053485,0.003349674180117848
-0.7000000000000001,1.1746959149132854,0.0069541593720155856
-0.7500000000000001,1.2381955425112836,0.011617318658453652
-0.8000000000000002,1.2992502192075246,0.017172349061134497
-0.8500000000000002,1.3578230869733783,0.023483512582895286
-0.9000000000000002,1.4139214324669958,0.030446210132690773
-0.9500000000000003,1.467580386143283,0.037981826928321916
-1.0000000000000002,1.5188516825080098,0.04603240588297746
-1.0500000000000003,1.5677963164538717,0.054554716790054414
-1.1000000000000003,1.6144798967879042,0.0635168640339054
-1.1500000000000004,1.6589697724179437,0.07289474555730448
-1.2000000000000004,1.7013332920459554,0.08267024712047569
-1.2500000000000004,1.7416367775068475,0.09282914668173203
-1.3000000000000005,1.7799449418535478,0.1033601878503511
-1.3500000000000005,1.8163205821417125,0.11425425994713756
-1.4000000000000006,1.850824440065088,0.1255039295349944
-1.4500000000000006,1.8835151635534952,0.13710270227734384
-1.5000000000000007,1.9144493276033623,0.14904477433567048
-1.5500000000000007,1.943681488431001,0.16132484785836465
-1.6000000000000008,1.9712642549868415,0.1739391287699606
-1.6500000000000008,1.9972483681220543,0.18688231704455072
-1.7000000000000008,2.0216827816236753,0.20015058067192137
-1.7500000000000009,2.0446147417878766,0.2137402522193142
-1.800000000000001,2.066089863724151,0.22764691552823535
-1.850000000000001,2.086152203517359,0.24186761225469014
-1.900000000000001,2.104844325936699,0.2563980537270663
-1.950000000000001,2.1222073677085302,0.27123503801836785
-2.000000000000001,2.1382810965513857,0.2863753094789782
-2.0500000000000007,2.1531039662624663,0.301814316953292
-2.1000000000000005,2.1667131681809444,0.317550999406157
-2.1500000000000004,2.179144679357088,0.333579737286779
-2.2,2.1904333077417935,0.3498982184972121
-2.25,2.2006127346873505,0.3665041108264167
-2.3,2.2097155550226626,0.3833926386754882
-2.3499999999999996,2.217773314937914,0.4005613958219774
-2.3999999999999995,2.2248165478866637,0.41800880994440964
-2.4499999999999993,2.230874808688536,0.43572999460695355
-2.499999999999999,2.23597670599357,0.4537220851410263
-2.549999999999999,2.2401499332499646,0.47198419908942635
-2.5999999999999988,2.2434212983003494,0.490511425289563
-2.6499999999999986,2.24581675171766,0.5093022642773323
-2.6999999999999984,2.2473614139800113,0.52835322505501
-2.7499999999999982,2.24807960157434,0.5476622763286585
-2.799999999999998,2.247994852110824,0.5672268727570059
-2.849999999999998,2.2471299485239395,0.5870440569140076
-2.8999999999999977,2.245506942431205,0.6071114329206714
-2.9499999999999975,2.2431471767170454,0.6274268260137391
-2.9999999999999973,2.2400713074064975,0.6479881630890139
-3.049999999999997,2.2362993248914713,0.6687926973245054
-3.099999999999997,2.2318505745708124,0.6898382089730218
-3.149999999999997,2.226743776964161,0.7111225187735786
-3.1999999999999966,2.2209970473583924,0.7326434850739874
-3.2499999999999964,2.21462791504396,0.7543990009850928
-3.2999999999999963,2.2076533421964393,0.7763869915999592
-3.349999999999996,2.2000897424556616,0.7986054113112366
-3.399999999999996,2.191952999250655,0.8210524932669095
-3.4499999999999957,2.183258483912814,0.843726822595808
-3.4999999999999956,2.174021073611819,0.866625875909033
-3.5499999999999954,2.1642551691384586,0.8897477223551327
-3.599999999999995,2.1539747125452675,0.9130904499109243
-3.649999999999995,2.143193204639462,0.9366539499147812
-3.699999999999995,2.131923722302912,0.9604352280342361
-3.7499999999999947,2.1201789355909537,0.9844321351956137
-3.7999999999999945,2.107971124536204,1.0086455417665456
-3.8499999999999943,2.095312195556339,1.0330716582235158
-3.899999999999994,2.082213697337779,1.0577102518954744
-3.949999999999994,2.0686868360432604,1.0825599481227448
-3.999999999999994,2.0547424896741733,1.1076190487720916
-4.049999999999994,2.0403912214132585,1.1328870469670063
-4.099999999999993,2.0256432917856895,1.1583624477286774
-4.149999999999993,2.010508669512613,1.1840438056034746
-4.199999999999993,1.9949970409958753,1.209931749900783
-4.249999999999993,1.979117818467416,1.236022848403406
-4.299999999999993,1.9628801469569457,1.2623189115254796
-4.3499999999999925,1.946292910362371,1.288817760329321
-4.399999999999992,1.9293647370219054,1.3155177065705406
-4.449999999999992,1.9121040052459315,1.3424196803847661
-4.499999999999992,1.8945188492289358,1.3695228099446188
-4.549999999999992,1.8766171655993025,1.3968248822050202
-4.599999999999992,1.8584066206020842,1.4243250748069687
-4.6499999999999915,1.8398946576344093,1.452022455267741
-4.699999999999991,1.8210885047146956,1.4799177146853055
-4.749999999999991,1.8019951815684383,1.5080078466743874
-4.799999999999991,1.7826215062841633,1.5362914862328052
-4.849999999999991,1.762974101680046,1.56476712285146
-4.899999999999991,1.7430594014893974,1.5934334801980192
-4.94999999999999,1.7228836563735705,1.6222891612529655
-4.99999999999999,1.7024529397532042,1.6513326693871997
