eta_inf,Fp0,negGp0,negthetap0,negphip0
15,-0.44296880073211387,1.36806592923111,3.631009296677412,443.9321861467425
20,-0.442968800172088,1.3680659293622395,3.63100929686937,443.93218614674737
25,-0.4429688001714723,1.3680659293623836,3.6310092968695815,443.93218614674737
30,-0.44296880017147156,1.3680659293623838,3.631009296869581,443.93218614674737
35,-0.44296880017147156,1.3680659293623838,3.631009296869581,443.93218614674737
